text,font_size,bold,alignment,x,y,casing,page,label
Application form for grant of LTC advance,11.7,1,centered,199.8600006103516,106.07836151123048,lower,1,H1
1.,9.7,1,left,70.0199966430664,135.93528747558594,lower,1,Body
Name of the Government Servant,9.7,0,left,95.99856567382812,132.9924774169922,lower,1,Body
2.,9.7,1,left,70.0199966430664,154.05015563964844,lower,1,Body
Designation,9.7,0,left,95.99856567382812,151.0488739013672,title,1,Body
3.,9.7,1,left,70.0199966430664,180.9252166748047,lower,1,Body
Date of entering the Central Government,9.7,0,left,95.99856567382812,169.1637420654297,lower,1,Body
Service,9.7,0,left,95.99856567382812,186.7426605224609,title,1,Body
4.,9.7,1,left,70.0199966430664,207.8002777099609,lower,1,Body
PAY + SI + NPA,9.7,0,left,95.99856567382812,204.8574676513672,upper,1,Body
5.,9.7,1,left,70.0199966430664,225.91514587402344,lower,1,Body
Whether permanent or temporary,9.7,0,left,95.99856567382812,222.9138641357422,lower,1,Body
6.,9.7,1,left,70.0199966430664,241.09690856933597,lower,1,Body
Home Town as recorded in the Service Book,9.7,0,left,95.99856567382812,241.09690856933597,lower,1,Body
7.,9.7,1,left,70.0199966430664,265.0389404296875,lower,1,Body
Whether wife / husband is employed and if,9.7,0,left,95.99856567382812,253.27745056152344,lower,1,Body
so whether entitled to LTC,9.7,0,left,95.99856567382812,270.8563842773437,lower,1,Body
8.,9.7,1,left,70.0199966430664,309.5611572265625,lower,1,Body
Whether the concession is to be availed for,9.7,0,left,95.99856567382812,288.98095703125,lower,1,Body
visiting home town and if so block for which,9.7,0,left,95.99856567382812,306.55987548828125,lower,1,Body
LTC is to be availed.,9.7,0,left,95.99856567382812,324.1972045898437,lower,1,Body
9.,9.7,1,left,70.0199966430664,362.833740234375,lower,1,Body
(a) If the concession is to visit anywhere in,9.7,0,left,95.99856567382812,342.25360107421875,lower,1,Body
"India, the place to be visited.",9.7,0,left,95.99856567382812,359.89093017578125,lower,1,Body
(b) Block for which to be availed.,9.7,0,left,95.99856567382812,377.4698486328125,lower,1,Body
10.,9.7,1,left,70.0199966430664,416.174560546875,lower,1,Body
Single,9.7,0,left,95.99856567382812,395.5944213867188,title,1,Body
rail,9.7,0,left,136.138671875,395.5944213867188,lower,1,Body
fare/bus,9.7,0,left,163.60035705566406,395.5944213867188,lower,1,Body
fare,9.7,0,left,213.70704650878903,395.5944213867188,lower,1,Body
from,9.7,0,centered,244.8404083251953,395.5944213867188,lower,1,Body
the,9.7,0,centered,279.2371520996094,395.5944213867188,lower,1,Body
headquarters to home town/place of visit by,9.7,0,left,95.99856567382812,413.17327880859375,lower,1,Body
shortest route.,9.7,0,left,95.99856567382812,430.752197265625,lower,1,Body
11.,9.7,1,left,70.0199966430664,498.6121826171875,lower,1,Body
Persons in respect of whom LTC is proposed to be availed.,9.7,0,left,95.99856567382812,448.9352416992188,lower,1,Body
S.No,9.7,1,left,95.99856567382812,464.05853271484375,title,1,Body
Name,9.7,1,left,211.4122009277344,464.05853271484375,title,1,Body
